"Timestamp","Hour","DayOfWeek","IsWeekend","Temperature","Lighting_LED","Lighting_Tube","Cooling_Fan_Ceiling","Cooling_Fan_Table","Cooling_AC","Cooling_Cooler","Electronics_TV","Electronics_Laptop","Electronics_Desktop","Electronics_Charger","Electronics_WiFi","Kitchen_Microwave","Kitchen_Induction","Kitchen_Kettle","Kitchen_Mixer","Kitchen_Toaster","Kitchen_Coffee","Utility_Washing","Utility_Dishwasher","Utility_Vacuum","Utility_Iron","Heating_Water","Heating_Room","Smart_Speaker","Smart_CCTV","Smart_Purifier","Smart_Humidifier","Others_Refrigerator","Others_Purifier","Others_Exhaust","Total_Consumption"
"2024-04-04T00:00:00","0","3","0","21.8","0.048","0.04","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.003","0.008","0.0","0.0","0.111","0.016","0","0.226"
"2024-04-04T00:01:00","0","3","0","18.9","0.049","0.027","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.916","0.001","0.006","0.0","0.0","0.103","0.023","0","1.125"
"2024-04-04T00:02:00","0","3","0","20.4","0.04","0.073","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0.009","0.0","0.0","0.118","0.022","0","0.262"
"2024-04-04T00:03:00","0","3","0","20.9","0.024","0.077","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.002","0.009","0.0","0.0","0.059","0.023","0","0.194"
"2024-04-04T00:04:00","0","3","0","21.7","0.03","0.048","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.003","0.008","0.0","0.0","0.059","0.026","0","0.174"
"2024-04-04T00:05:00","0","3","0","20.0","0.012","0.039","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.004","0.013","0.0","0.0","0.055","0.018","0","0.141"
"2024-04-04T00:06:00","0","3","0","21.0","0.02","0.023","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.005","0.011","0.0","0.0","0.107","0.013","0","0.179"
"2024-04-04T00:07:00","0","3","0","19.6","0.044","0.062","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.054","0.002","0.013","0.0","0.0","0.106","0.018","0","1.299"
"2024-04-04T00:08:00","0","3","0","20.9","0.034","0.033","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.004","0.006","0.0","0.0","0.104","0.02","0","0.201"
"2024-04-04T00:09:00","0","3","0","21.3","0.035","0.034","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0.013","0.0","0.0","0.074","0.022","0","0.178"
